17;4
18;4
19;3
20;4
22;5
23;5
25;3
26;3
27;1
29;3
30;1
32;5
33;4
34;5
35;4
36;5
37;2
38;4
39;2
40;3
41;4
42;3
43;3
46;3
50;4
57;3
58;5
59;3
60;3
61;1
64;5
65;5
66;3
70;5
71;3
73;5
74;5
75;4
76;5
77;4
78;5
79;4
81;4
82;4
83;5
84;2
85;4
86;3
87;5
88;3
89;3
90;4
91;3
92;5
93;4
95;3
96;2
98;4
99;4
100;2
101;5
102;5
103;2
104;5
105;4
106;3
107;3
108;2
109;4
110;5
111;3
112;4
113;4
114;4
115;4
116;4
117;4
118;4
119;3
120;2
121;5
122;4
123;4
124;3
125;5
126;4
127;3
128;5
129;2
130;4
131;3
132;3
133;4
134;1
135;2
136;4
137;4
138;2
139;4
140;2
141;4
142;5
143;3
144;5
146;3
147;2
148;2
149;4
150;4
151;3
153;1
154;3
155;3
156;3
157;4
158;4
159;3
160;4
161;2
162;5
163;3
164;5
165;4
166;3
167;2
168;4
169;3
170;4
171;4
172;1
173;5
174;3
175;2
176;5
177;3
178;5
179;4
180;2
182;1
183;5
184;4
185;4
186;4
187;3
188;5
189;4
190;4
191;2
192;3
193;5
194;4
195;5
196;2
197;3
198;3
199;2
200;4
204;4
206;5
207;4
208;3
209;3
210;4
211;4
212;2
213;3
214;3
215;3
216;3
217;3
218;5
219;4
220;5
221;4
222;2
223;4
224;4
225;5
227;4
228;4
229;4
230;5
231;5
232;2
234;4
235;5
236;1
238;1
240;4
241;1
242;4
243;2
245;3
246;5
248;1
249;5
250;4
252;5
253;3
254;4
255;5
256;4
257;3
258;4
259;3
260;3
261;4
262;5
263;2
265;2
268;3
269;4
272;2
274;5
275;4
276;3
277;4
278;5
279;3
280;5
281;3
282;5
284;2
285;5
286;5
287;3
288;3
289;3
290;5
311;4
312;4
313;3
314;3
315;4
316;5
318;5
319;4
320;3
321;4
322;1
323;1
324;4
325;4
326;4
461;4
464;5
339;4
466;1
774;5
775;4
776;4
777;3
778;4
779;4
686;5
780;5
781;5
782;4
783;5
784;5
411;5
525;4
785;2
366;4
363;4
673;3
441;2
351;5
342;1
338;1
786;1
787;1
367;2
788;2
636;4
358;3
631;4
341;4
333;2
439;4
789;3
642;1
348;4
426;2
328;3
368;4
676;4
630;5
349;3
790;4
791;4
683;5
792;1
687;4
688;5
457;5
793;3
442;4
794;4
460;2
459;4
639;5
362;5
795;4
796;4
387;3
431;5
427;4
677;4
797;2
798;2
654;5
628;4
799;4
330;4
641;4
331;3
800;2
655;4
340;5
801;2
543;3
802;3
715;2
624;5
389;5
470;4
684;5
689;5
803;3
804;4
671;2
364;4
347;5
805;3
806;4
672;4
807;4
332;5
808;4
428;2
357;1
388;2
809;4
810;5
811;4
429;1
812;3
695;4
527;4
456;5
813;4
674;4
430;5
378;5
458;5
814;2
644;3
359;3
815;4
678;4
360;4
462;5
361;3
816;1
413;2
365;4
440;5
463;4
817;4
414;4
679;4
465;5
685;5
818;5
819;3
625;3
670;1
329;3
726;4
374;3
373;2
372;2
401;3
769;4
369;5
402;3
768;3
446;2
447;3
448;5
449;5
725;4
519;5
714;3
567;4
568;5
569;4
570;1
746;4
747;3
748;5
762;5
763;3
491;4
698;2
690;4
554;4
592;5
593;2
614;2
587;5
737;5
571;4
545;3
577;3
697;4
820;5
506;3
515;5
822;5
513;3
823;5
541;3
507;4
824;5
753;3
585;3
594;5
702;3
582;4
711;4
826;5
710;5
504;2
742;2
555;5
563;4
728;5
827;5
828;2
829;4
830;4
831;3
508;3
514;4
832;2
516;3
595;5
701;3
713;4
721;4
611;2
734;4
692;4
724;4
580;4
586;5
722;5
703;5
691;5
735;4
579;4
752;3
729;1
720;4
544;4
833;3
590;4
719;5
604;4
584;4
834;5
835;5
599;3
836;5
615;3
605;2
733;4
548;3
553;4
709;4
837;4
530;5
565;5
749;5
838;5
597;1
839;3
754;1
613;3
840;3
494;2
708;4
736;4
510;4
841;3
531;4
591;1
842;1
501;2
529;2
495;4
509;2
492;1
843;4
471;3
532;3
844;3
845;4
557;3
551;3
846;2
723;3
583;3
732;4
693;3
512;4
503;4
556;5
564;4
743;5
847;4
552;2
731;4
550;3
562;3
549;4
502;4
730;3
849;1
606;2
588;5
738;3
850;3
851;2
540;5
498;3
712;5
493;5
517;3
499;4
511;4
852;5
853;5
489;2
854;4
855;5
856;5
581;3
857;4
598;5
858;5
576;3
612;4
609;4
608;5
859;4
741;3
860;4
861;3
596;5
727;3
862;2
535;3
694;3
528;4
474;2
473;5
472;4
479;5
704;1
483;2
475;5
706;2
707;2
764;4
476;2
500;5
484;4
477;3
478;5
486;4
481;5
480;5
505;4
696;5
482;5
573;4
485;4
751;5
863;4
864;2
602;1
603;2
865;2
866;2
867;2
487;1
488;4
705;3
496;3
520;1
716;3
