INFMDI356	Cryptographie		Cours de spé	INF	MDI	P2	P2A	Hugues RANDRIAMBOLOLONA										
INFRES352	Modélisation et conception de services et logiciels répartis		Cours de spé	INF	RES	P3	P3B	Elie NAJM										
INFRES357	Sécurité des réseaux		Cours de spé	INF	RES	P2	P2B	P3	P3A	Ahmed SERHROUCHNI	Pascal URIEN							
INFSES344	Systèmes d'information et management		Cours de spé	INF	SES	P3	P3B	Laure MUSELLI	Sylvie VIGNES									
INFSES384	Projet en systèmes d'information et management		Cours de spé	projet	INF	SES	P3	P3A	Laure MUSELLI	Sylvie VIGNES								
INFSI350	Informatique graphique 3D et réalité virtuelle		Cours de spé	INF	SI	P3	P3A	Tamy BOUBEKEUR										
INFSI351	Interfaces homme-machine		Cours de spé	INF	SI	P3	P3B	Eric LECOLINET										
MDI220	Statistiques		Cours de base	MDI	P1	P1A2	Francois ROUEFF	Stephan CLEMENÇON										
MDI222	Statistiques mathématiques		Cours de base	MDI	P2	P2A1	Francois ROUEFF	Pascal BIANCHI										
MDI224	Méthodes d'optimisation continue et applications		Cours de base	MDI	P2	P2B2	Alexandre GRAMFORT	Roland BADEAU										
MDI241	Probabilités ++		Cours de base	MDI	P1	P1B	Eric MOULINES	Stephan CLEMENÇON										
MDI243	Algèbre		Cours de base	MDI	P1	P1A	Hugues RANDRIAMBOLOLONA											
MDI340	Calcul stochastique de la finance		Cours de spé	MDI	P3	P3B	Laurent DECREUSEFOND	Suleyman USTUNEL										
MDI342	Calcul de Malliavin et analyse stochastique		Cours de spé	MDI	P3	P3A	Laurent DECREUSEFOND	Suleyman USTUNEL										
MDI343	Apprentissage statistique et fouille de donnees		Cours de spé	MDI	P3	P3B	Joseph SALMON	Stephan CLEMENÇON										
MDI345	Calcul numérique		Cours de spé	MDI	P4	P4A	Eric MOULINES	Laurent DECREUSEFOND										
MDI349	Techniques mathématiques avancées pour le codage et la cryptographie		Cours de spé	MDI	P4	P4B	Gérard COHEN	Hugues RANDRIAMBOLOLONA										
PIM380	Projet Innovation Master		Cours de spé	projet	COM	ELEC	INF	MDI	PHY	RES	SES	SI	P1	P1A	P1	P1B	P2	P2A
PJL380	Projet libre		Cours de spé	projet	COM	INF	MDI	RES	SES	SI	P1	P1A	P1	P1B	P2	P2A	P2	P2B
RES220	Signalisation		Cours de base	RES	P1	P1A2	P3	P3B2	Nadia BOUKHATEM	Philippe MARTINS GONÇALVES								
RES221	Trafic, files d'attente et réseaux		Cours de base	RES	P1	P1A1	Thomas BONALD											
RES222	Accès et mobilité		Cours de base	RES	P1	P1A2	P3	P3A2	Marceau COUPECHOUX	Maurice GAGNAIRE								
RES223	Internet		Cours de base	RES	P1	P1B1	P2	P2B1	Ahmed SERHROUCHNI									
RES224	Architecture des applications Internet		Cours de base	RES	P1	P1B2	P2	P2B2	Dario ROSSI									
RES340	Communications sans fil et réseaux autonomes		Cours de spé	RES	P2	P2A	P3	P3A	Claude CHAUDET	Houda LABIOD								
